Timestamp,Epoch_Time_ms,MAG,D,P1,P2,P3
2026-06-19 17:00:42.203,1781906442203,4376.1553,6.8,0,1,0
2026-06-19 17:00:42.243,1781906442243,4376.1553,6.3,0,1,0
2026-06-19 17:00:42.284,1781906442284,4376.1553,6.8,0,1,0
2026-06-19 17:00:42.323,1781906442323,4376.1553,6.3,0,1,0
2026-06-19 17:00:42.363,1781906442363,4376.1553,6.9,0,1,0
2026-06-19 17:00:42.403,1781906442403,4485.1016,6.8,0,1,0
2026-06-19 17:00:42.443,1781906442443,4485.1016,7.2,0,1,0
2026-06-19 17:00:42.483,1781906442483,4485.1016,7.2,0,1,0
2026-06-19 17:00:42.523,1781906442523,4485.1016,7.2,0,1,0
2026-06-19 17:00:42.563,1781906442563,4485.1016,6.8,0,1,0
2026-06-19 17:00:42.603,1781906442603,4485.1016,6.8,0,1,0
2026-06-19 17:00:42.643,1781906442643,5177.7222,7.6,0,1,0
2026-06-19 17:00:42.683,1781906442683,5177.7222,7.7,0,1,0
2026-06-19 17:00:42.723,1781906442723,5177.7222,9.0,0,1,0
2026-06-19 17:00:42.763,1781906442763,5177.7222,8.3,0,1,0
2026-06-19 17:00:42.803,1781906442803,5177.7222,7.5,0,1,0
2026-06-19 17:00:42.843,1781906442843,5177.7222,7.0,0,1,0
2026-06-19 17:00:42.883,1781906442883,5177.7222,6.8,0,1,0
2026-06-19 17:00:42.923,1781906442923,4683.1548,7.1,0,1,0
2026-06-19 17:00:42.963,1781906442963,4683.1548,6.7,0,1,0
2026-06-19 17:00:43.003,1781906443003,4683.1548,6.7,0,1,0
2026-06-19 17:00:43.043,1781906443043,4683.1548,6.3,0,1,0
2026-06-19 17:00:43.083,1781906443083,4683.1548,6.3,0,1,0
2026-06-19 17:00:43.123,1781906443123,4683.1548,6.0,0,1,0
2026-06-19 17:00:43.163,1781906443163,3140.1384,6.5,0,1,0
2026-06-19 17:00:43.203,1781906443203,3140.1384,6.9,0,1,0
2026-06-19 17:00:43.243,1781906443243,3140.1384,7.0,0,1,0
2026-06-19 17:00:43.283,1781906443283,3140.1384,7.0,0,1,0
2026-06-19 17:00:43.323,1781906443323,3140.1384,6.7,0,1,0
2026-06-19 17:00:43.363,1781906443363,3140.1384,6.8,0,1,0
2026-06-19 17:00:43.403,1781906443403,3140.1384,6.4,0,1,0
2026-06-19 17:00:43.443,1781906443443,1362.0137,6.4,0,1,0
2026-06-19 17:00:43.483,1781906443483,1362.0137,7.3,0,1,0
2026-06-19 17:00:43.523,1781906443523,1362.0137,7.6,0,1,0
2026-06-19 17:00:43.563,1781906443563,1362.0137,7.6,0,1,0
2026-06-19 17:00:43.603,1781906443603,1362.0137,7.8,0,1,0
2026-06-19 17:00:43.643,1781906443643,1362.0137,7.2,0,1,0
2026-06-19 17:00:43.684,1781906443684,1145.7914,6.3,0,1,0
2026-06-19 17:00:43.724,1781906443724,1145.7914,6.7,0,1,0
2026-06-19 17:00:43.763,1781906443763,1145.7914,6.4,0,1,0
2026-06-19 17:00:43.803,1781906443803,1145.7914,7.3,0,1,0
2026-06-19 17:00:43.843,1781906443843,1145.7914,7.5,0,1,0
2026-06-19 17:00:43.883,1781906443883,1145.7914,7.4,0,1,0
2026-06-19 17:00:43.923,1781906443923,1145.7914,7.5,0,1,0
2026-06-19 17:00:43.963,1781906443963,1192.3447,7.8,0,1,0
2026-06-19 17:00:44.003,1781906444003,1192.3447,7.3,0,1,0
2026-06-19 17:00:44.043,1781906444043,1192.3447,7.3,0,1,0
2026-06-19 17:00:44.083,1781906444083,1192.3447,7.3,0,1,0
2026-06-19 17:00:44.123,1781906444123,1192.3447,7.6,0,1,0
2026-06-19 17:00:44.163,1781906444163,1192.3447,7.8,0,1,0
2026-06-19 17:00:44.203,1781906444203,1002.4080,7.4,0,1,0
2026-06-19 17:00:44.243,1781906444243,1002.4080,7.3,0,1,0
2026-06-19 17:00:44.283,1781906444283,1002.4080,6.9,0,1,0
2026-06-19 17:00:44.323,1781906444323,1002.4080,6.9,0,1,0
2026-06-19 17:00:44.363,1781906444363,1002.4080,6.3,0,1,0
2026-06-19 17:00:44.403,1781906444403,1002.4080,6.8,0,1,0
2026-06-19 17:00:44.443,1781906444443,1002.4080,6.3,0,1,0
2026-06-19 17:00:44.483,1781906444483,903.9371,6.3,0,1,0
2026-06-19 17:00:44.523,1781906444523,903.9371,6.2,0,1,0
2026-06-19 17:00:44.563,1781906444563,903.9371,6.8,0,1,0
2026-06-19 17:00:44.603,1781906444603,903.9371,6.7,0,0,0
2026-06-19 17:00:44.643,1781906444643,903.9371,7.4,0,0,0
2026-06-19 17:00:44.683,1781906444683,903.9371,7.0,0,0,0
2026-06-19 17:00:44.723,1781906444723,1207.1202,7.0,0,0,0
2026-06-19 17:00:44.763,1781906444763,1207.1202,6.9,0,0,0
2026-06-19 17:00:44.803,1781906444803,1207.1202,6.9,0,0,0
2026-06-19 17:00:44.843,1781906444843,1207.1202,6.9,0,0,0
2026-06-19 17:00:44.883,1781906444883,1207.1202,6.9,0,0,0
